City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Jovellanos,CU,73.83,overcast clouds,22.8044,-81.1944,Finca Luna
452,Kendari,ID,74.86,overcast clouds,-3.945,122.4989,Hotel Wixel
453,Zamora,EC,79.09,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
456,Cairns,AU,77.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
458,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
461,Kirakira,SB,83.14,broken clouds,-10.4544,161.9205,SanBiz Lodge
462,Buchanan,LR,76.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
466,Isangel,VU,83.88,clear sky,-19.55,169.2667,Tanna Lodge
467,Manggar,ID,77.76,scattered clouds,-2.8833,108.2667,Guest Hotel
473,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
479,Vao,NC,77.36,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
481,Byron Bay,AU,71.55,scattered clouds,-28.65,153.6167,Backpackers Inn
483,Faanui,PF,81.32,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
484,Santa Rosa,PH,77.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
488,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
492,Balingasay,PH,79.11,clear sky,16.3573,119.8564,Rock Garden Resort
493,Esmeraldas,BR,83.26,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
497,Paoua,CF,70.92,few clouds,7.2427,16.4406,Quartier Paoua Elien
500,Bubaque,GW,79.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
501,Santa Maria,BR,79.9,thunderstorm with heavy rain,-29.6842,-53.8069,Hotel Morotin
507,Nabire,ID,76.57,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
515,Karratha,AU,81.82,light rain,-20.7377,116.8463,ibis Styles Karratha
516,Maragogi,BR,80.73,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
520,Maldonado,UY,76.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
532,Barranca,PE,74.48,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
538,Gizo,SB,83.16,light rain,-8.103,156.8419,Imagination Island
539,Huatulco,MX,89.87,clear sky,15.8436,-96.3267,Fonatur Operadora Portuaría
544,Bandung,ID,73.78,overcast clouds,-6.9039,107.6186,Amaroossa Hotel
551,Port Moresby,PG,77.36,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
554,Honiara,SB,83.19,broken clouds,-9.4333,159.95,Heritage Park Hotel
561,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
564,Ferraz De Vasconcelos,BR,78.4,broken clouds,-23.5408,-46.3686,MHotel Ferraz
569,Alice Springs,AU,76.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
574,Sao Felix Do Xingu,BR,83.26,light rain,-6.6447,-51.995,Rio Xingu Camping
575,Boke,GN,72.34,scattered clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
577,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
578,Hobyo,SO,77.5,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
579,Luwuk,ID,77.56,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
581,Rio Grande,BR,86.11,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
590,Nacala,MZ,73.22,moderate rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
594,Boyolangu,ID,74.37,overcast clouds,-8.1181,111.8935,Yos ega cv
595,Victor Harbor,AU,76.71,overcast clouds,-35.5667,138.6167,McCracken Country Club
600,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
602,Ambilobe,MG,73.98,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
603,George,ZA,74.95,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
604,Ubatuba,BR,80.11,scattered clouds,-23.4339,-45.0711,Hotel Coquille
607,Komatipoort,ZA,72.05,few clouds,-25.4332,31.9548,Kruger View Backpackers
616,Laje,BR,77.2,scattered clouds,-10.1833,-40.9667,NN Pousada
619,Mingoyo,TZ,73.89,overcast clouds,-10.1,39.6333,CHIMBENDE LODGE
624,Auki,SB,82.92,overcast clouds,-8.7676,160.7034,Auki Motel
