City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Abengourou,CI,6.7297,-3.4964,73.26,25,3,2.48,clear sky
256,Manzanillo,CU,20.3433,-77.1167,85.62,46,7,7.96,clear sky
257,Sicamous,CA,50.8331,-118.9856,34.79,95,62,2.21,broken clouds
258,Sinjar,IQ,36.3209,41.8754,38.71,62,96,9.57,overcast clouds
259,Bhuj,IN,23.2667,69.6667,56.61,41,0,3.22,clear sky
260,Ibotirama,BR,-12.1853,-43.2206,80.06,67,91,1.43,overcast clouds
261,Sitka,US,57.0531,-135.33,40.53,93,100,3.47,overcast clouds
262,Saint George,US,37.1041,-113.5841,57.67,33,2,1.01,clear sky
263,Kupang,ID,-10.1667,123.5833,79.25,84,100,10.98,overcast clouds
264,Okato,NZ,-39.2,173.8833,65.91,92,100,0.58,moderate rain
265,Henties Bay,NA,-22.116,14.2845,74.71,77,29,1.45,scattered clouds
266,San Rafael,AR,-34.6177,-68.3301,84.63,40,5,5.99,clear sky
267,Trelew,AR,-43.249,-65.3051,80.4,21,48,28.39,scattered clouds
268,Mokhsogollokh,RU,61.4681,128.9203,-9.85,98,100,4.12,overcast clouds
269,Great Yarmouth,GB,52.6083,1.7305,41.31,73,100,7.54,overcast clouds
270,Sinnamary,GF,5.3833,-52.95,77.34,86,24,9.24,few clouds
271,Maceio,BR,-9.6658,-35.7353,81.84,69,40,4.61,scattered clouds
272,Alushta,UA,44.6667,34.4167,32.61,79,100,13.04,light snow
273,Oktyabrskoye,RU,43.0645,44.7417,28.54,86,74,2.24,broken clouds
274,Brae,GB,60.3964,-1.353,48.11,87,100,34.96,overcast clouds
275,Vila,PT,42.0304,-8.1588,39.94,72,0,2.55,clear sky
276,Taguatinga,BR,-12.3857,-46.5711,80.11,76,82,3.51,broken clouds
277,Langsa,ID,4.4683,97.9683,73.15,95,85,1.34,overcast clouds
278,Lazaro Cardenas,MX,17.9583,-102.2,82.87,54,48,10.71,scattered clouds
279,Yar-Sale,RU,66.8333,70.8333,3.22,96,82,10.56,broken clouds
280,Twante,MM,16.7167,95.9333,73.53,70,18,4.99,few clouds
281,Souillac,MU,-20.5167,57.5167,80.98,83,40,4.61,scattered clouds
282,Tabas,IR,33.5959,56.9244,40.6,27,0,1.14,clear sky
283,Khunti,IN,23.0833,85.2833,57.31,95,62,4.72,broken clouds
284,Chaozhou,CN,23.6651,116.6379,62.46,90,87,3.2,light rain
285,Yarmouth,US,41.7057,-70.2286,34.34,67,49,5.01,scattered clouds
286,Kerema,PG,-7.9631,145.7785,76.73,85,100,3.36,overcast clouds
287,Faya,SA,18.3851,42.4509,50.11,68,6,2.57,clear sky
288,Coalinga,US,36.1397,-120.3602,64.58,27,0,3.13,clear sky
289,Namibe,AO,-15.1961,12.1522,75.38,85,91,8.14,overcast clouds
290,Adrar,MR,20.5022,-10.0711,68.97,18,3,10.89,clear sky
291,General Pico,AR,-35.6566,-63.7568,85.12,55,3,6.82,clear sky
292,Lata,PT,40.1629,-8.3327,50.81,78,0,3.11,clear sky
293,Sorland,NO,67.667,12.6934,46.47,88,100,54.74,light rain
294,Banda Aceh,ID,5.5577,95.3222,76.32,86,81,4.54,broken clouds
295,Nouadhibou,MR,20.931,-17.0347,71.58,60,100,10.36,overcast clouds
296,Payo,ID,-3.7508,103.6372,71.78,96,96,1.81,overcast clouds
297,Kaitangata,NZ,-46.2817,169.8464,54.93,65,80,2.19,broken clouds
298,Leningradskiy,RU,69.3833,178.4167,-16.35,94,100,6.17,overcast clouds
299,Praya,CV,14.9215,-23.5087,75.74,57,100,17.27,overcast clouds
300,Strezhevoy,RU,60.7333,77.5889,1.38,97,97,2.35,overcast clouds
301,Port Blair,IN,11.6667,92.75,71.64,94,40,0.0,mist
302,Beringovskiy,RU,63.05,179.3167,-19.14,97,81,5.12,broken clouds
303,Mapiripan,CO,2.8892,-72.1256,93.09,36,79,6.71,broken clouds
304,Parasia,IN,22.2,78.7667,52.77,57,0,5.23,clear sky
305,Dzhuryn,UA,49.0329,25.5839,13.68,96,84,6.44,broken clouds
306,Fairbanks,US,64.8378,-147.7164,17.31,87,0,0.0,clear sky
307,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,0,18.41,clear sky
308,Zaysan,KZ,47.4667,84.8667,-5.12,83,74,3.13,broken clouds
309,Merauke,ID,-8.4667,140.3333,78.62,88,98,7.87,overcast clouds
310,Poum,NC,-20.2333,164.0167,80.67,68,96,11.74,overcast clouds
311,Susanville,US,40.4163,-120.653,48.67,49,0,3.0,clear sky
312,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,19.27,58,100,11.5,light snow
313,Isabela,PH,6.7085,121.9711,77.95,87,75,4.61,broken clouds
314,Esperance,AU,-33.8667,121.9,64.24,87,85,15.03,overcast clouds
